JobID|ProcID|System|SubmissionType|Group|Class|Nan|User|Nan2|Submission|Submit|Start|Stop|Elapsed|ExitCode|State|NNodes|NCpus|NProcs|ReqMem|Nan3|AllRequest|Timelimit|NodeList
26829225|26829225|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:10:03|2018-04-25T21:10:03|2018-04-26T00:27:16|2018-04-26T00:57:20|00:30:04|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp211
26829227|26829227|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:10:03|2018-04-25T21:10:03|2018-04-26T00:27:16|2018-04-26T00:57:20|00:30:04|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1127
26829231|26829231|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:10:03|2018-04-25T21:10:03|2018-04-26T00:27:16|2018-04-26T00:57:20|00:30:04|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1354
26829239|26829239|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:10:03|2018-04-25T21:10:03|2018-04-26T00:27:16|2018-04-26T00:57:20|00:30:04|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1341
26829241|26829241|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:10:04|2018-04-25T21:10:04|2018-04-26T00:27:16|2018-04-26T00:57:20|00:30:04|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1407
26829250|26829250|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:10:13|2018-04-25T21:10:13|2018-04-26T00:31:47|2018-04-26T01:02:01|00:30:14|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1110
27017476|27017476|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-05-01T21:08:01|2018-05-01T21:08:01|2018-05-01T21:24:45|2018-05-01T21:55:06|00:30:21|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp216
27017477|27017477|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-05-01T21:08:01|2018-05-01T21:08:01|2018-05-01T21:24:45|2018-05-01T21:55:07|00:30:22|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp209
27881047|27881047|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:29:15|2018-06-11T23:29:15|2018-06-11T23:29:15|2018-06-11T23:59:36|00:30:21|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1063
27881049|27881049|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:29:15|2018-06-11T23:29:15|2018-06-11T23:29:22|2018-06-11T23:59:36|00:30:14|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1045
27881050|27881050|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:29:23|2018-06-11T23:29:23|2018-06-11T23:29:23|2018-06-11T23:59:36|00:30:13|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1049
27881051|27881051|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:29:23|2018-06-11T23:29:23|2018-06-11T23:29:23|2018-06-11T23:59:36|00:30:13|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1054
27881052|27881052|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:29:23|2018-06-11T23:29:23|2018-06-11T23:29:23|2018-06-11T23:59:36|00:30:13|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp203
27881054|27881054|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:29:23|2018-06-11T23:29:23|2018-06-11T23:29:23|2018-06-11T23:59:36|00:30:13|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp214
27881055|27881055|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:29:24|2018-06-11T23:29:24|2018-06-11T23:29:26|2018-06-11T23:59:36|00:30:10|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp210
27881056|27881056|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:29:27|2018-06-11T23:29:27|2018-06-11T23:29:34|2018-06-11T23:59:37|00:30:03|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp209
27881057|27881057|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:29:36|2018-06-11T23:29:36|2018-06-11T23:29:55|2018-06-12T00:00:15|00:30:20|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1083
27881060|27881060|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:30:15|2018-06-11T23:30:15|2018-06-11T23:30:15|2018-06-12T00:00:15|00:30:00|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1064
27881062|27881062|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:30:16|2018-06-11T23:30:16|2018-06-11T23:30:16|2018-06-12T00:00:45|00:30:29|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1072
27881066|27881066|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-11T23:30:40|2018-06-11T23:30:40|2018-06-11T23:30:41|2018-06-12T00:00:45|00:30:04|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1125
27882973|27882973|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-06-12T01:14:06|2018-06-12T01:14:06|2018-06-12T01:14:07|2018-06-12T01:44:28|00:30:21|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1097
